service_code,library_code,subcategory_code,link_type,status
COM-COPY,COM,COM-DIGITAL,SECONDARY,ACTIVE
COM-CONTENT-PLAN,COM,COM-CONTENT,PRIMARY,ACTIVE
COM-SOCIAL-STRAT,COM,COM-DIGITAL,PRIMARY,ACTIVE
COM-COMMUNITY,COM,COM-DIGITAL,PRIMARY,ACTIVE
COM-SEO,COM,COM-DIGITAL,PRIMARY,ACTIVE
COM-EMAIL,COM,COM-DIGITAL,PRIMARY,ACTIVE
COM-DIGITAL-ADS,COM,COM-ADS,PRIMARY,ACTIVE
COM-MEDIA,COM,COM-ADS,PRIMARY,ACTIVE
COM-PHOTO,COM,COM-AV,PRIMARY,ACTIVE
COM-VIDEO,COM,COM-AV,PRIMARY,ACTIVE
COM-MOTION,COM,COM-AV,PRIMARY,ACTIVE
COM-PR,COM,COM-PR,PRIMARY,ACTIVE
COM-INFLUENCE,COM,COM-PR,PRIMARY,ACTIVE
COM-EVENT,COM,COM-EVENT,PRIMARY,ACTIVE
COM-PRINT-SIGN,COM,COM-EVENT,PRIMARY,ACTIVE
ACC-BOOKKEEPING,ACC,ACC-BOOK,PRIMARY,ACTIVE
ACC-CLEANUP,ACC,ACC-BOOK,PRIMARY,ACTIVE
ACC-CLOSE,ACC,ACC-BOOK,PRIMARY,ACTIVE
ACC-FS,ACC,ACC-BOOK,PRIMARY,ACTIVE
ACC-VAT,ACC,ACC-TAX,PRIMARY,ACTIVE
ACC-CORP-TAX,ACC,ACC-TAX,PRIMARY,ACTIVE
ACC-TAX-REVIEW,ACC,ACC-TAX,PRIMARY,ACTIVE
ACC-TAX-AUDIT,ACC,ACC-TAX,PRIMARY,ACTIVE
ACC-BUDGET,ACC,ACC-CTRL,PRIMARY,ACTIVE
ACC-MGMT-CONTROL,ACC,ACC-CTRL,PRIMARY,ACTIVE
ACC-COSTING,ACC,ACC-CTRL,PRIMARY,ACTIVE
ACC-TREASURY,ACC,ACC-CASH,PRIMARY,ACTIVE
ACC-COLLECTION,ACC,ACC-CASH,PRIMARY,ACTIVE
ACC-INVOICING,ACC,ACC-CASH,PRIMARY,ACTIVE
ACC-INVOICING,ACC,ACC-SYS,SECONDARY,ACTIVE
ACC-FIN-MODEL,ACC,ACC-FIN,PRIMARY,ACTIVE
ACC-FUNDING,ACC,ACC-FIN,PRIMARY,ACTIVE
ACC-AUDIT-PREP,ACC,ACC-AUDIT,PRIMARY,ACTIVE
ACC-DUE-DIL,ACC,ACC-AUDIT,PRIMARY,ACTIVE
ACC-SOFTWARE,ACC,ACC-SYS,PRIMARY,ACTIVE
ACC-INVENTORY,ACC,ACC-SPECIAL,PRIMARY,ACTIVE
LEGAL-CREATE,LEGAL,LEGAL-CORP,PRIMARY,ACTIVE
LEGAL-CORP-SECRETARY,LEGAL,LEGAL-CORP,PRIMARY,ACTIVE
LEGAL-GOV,LEGAL,LEGAL-CORP,PRIMARY,ACTIVE
LEGAL-CONTRACT-DRAFT,LEGAL,LEGAL-CONTRACT,PRIMARY,ACTIVE
LEGAL-CONTRACT-REVIEW,LEGAL,LEGAL-CONTRACT,PRIMARY,ACTIVE
LEGAL-GTC,LEGAL,LEGAL-CONTRACT,PRIMARY,ACTIVE
LEGAL-EMPLOYMENT,LEGAL,LEGAL-LABOR,PRIMARY,ACTIVE
LEGAL-HR-DISPUTE,LEGAL,LEGAL-LABOR,PRIMARY,ACTIVE
LEGAL-TRADEMARK,LEGAL,LEGAL-IP,PRIMARY,ACTIVE
LEGAL-IP-CONTRACT,LEGAL,LEGAL-IP,PRIMARY,ACTIVE
LEGAL-PRIVACY,LEGAL,LEGAL-IP,PRIMARY,ACTIVE
LEGAL-PRIVACY,LEGAL,LEGAL-IP,SECONDARY,ACTIVE
LEGAL-COMPLIANCE-AUDIT,LEGAL,LEGAL-COMP,PRIMARY,ACTIVE
LEGAL-ETHICS,LEGAL,LEGAL-COMP,PRIMARY,ACTIVE
LEGAL-LICENSE,LEGAL,LEGAL-COMP,PRIMARY,ACTIVE
LEGAL-DEBT-RECOVERY,LEGAL,LEGAL-DISPUTE,PRIMARY,ACTIVE
LEGAL-PRE-LITIGATION,LEGAL,LEGAL-DISPUTE,PRIMARY,ACTIVE
LEGAL-LITIGATION,LEGAL,LEGAL-DISPUTE,PRIMARY,ACTIVE
LEGAL-LEASE,LEGAL,LEGAL-REAL,PRIMARY,ACTIVE
LEGAL-SHA,LEGAL,LEGAL-TRANS,PRIMARY,ACTIVE
LEGAL-FRANCHISE,LEGAL,LEGAL-TRANS,PRIMARY,ACTIVE
HR-AUDIT,HR,HR-STRAT,PRIMARY,ACTIVE
HR-WORKFORCE,HR,HR-STRAT,PRIMARY,ACTIVE
HR-JOB-DESC,HR,HR-STRAT,PRIMARY,ACTIVE
HR-RECRUIT,HR,HR-REC,PRIMARY,ACTIVE
HR-EXEC-SEARCH,HR,HR-REC,PRIMARY,ACTIVE
HR-ONBOARD,HR,HR-REC,PRIMARY,ACTIVE
HR-PERFORMANCE,HR,HR-PERF,PRIMARY,ACTIVE
HR-COMPETENCY,HR,HR-PERF,PRIMARY,ACTIVE
HR-SUCCESSION,HR,HR-PERF,PRIMARY,ACTIVE
HR-COMP-BEN,HR,HR-COMP,PRIMARY,ACTIVE
HR-PAYROLL,HR,HR-COMP,PRIMARY,ACTIVE
HR-PAYROLL,HR,HR-ADMIN,SECONDARY,ACTIVE
HR-ADMIN,HR,HR-ADMIN,PRIMARY,ACTIVE
HR-TIME,HR,HR-ADMIN,PRIMARY,ACTIVE
HR-TRAIN-NEEDS,HR,HR-TRAIN,PRIMARY,ACTIVE
HR-TRAIN-DELIVERY,HR,HR-TRAIN,PRIMARY,ACTIVE
HR-ENGAGEMENT,HR,HR-REL,PRIMARY,ACTIVE
HR-RELATIONS,HR,HR-REL,PRIMARY,ACTIVE
HR-DISCIPLINE,HR,HR-REL,PRIMARY,ACTIVE
HR-HRIS,HR,HR-DIGI,PRIMARY,ACTIVE
HR-OUTSOURCING,HR,HR-DIGI,PRIMARY,ACTIVE
INS-RISK-AUDIT,INS,INS-RISK,PRIMARY,ACTIVE
INS-MAP,INS,INS-RISK,PRIMARY,ACTIVE
INS-PROPERTY,INS,INS-PROP,PRIMARY,ACTIVE
INS-BI,INS,INS-PROP,PRIMARY,ACTIVE
INS-GL,INS,INS-LIAB,PRIMARY,ACTIVE
INS-PRO-LIAB,INS,INS-LIAB,PRIMARY,ACTIVE
INS-PRODUCT,INS,INS-LIAB,PRIMARY,ACTIVE
INS-DNO,INS,INS-LIAB,PRIMARY,ACTIVE
INS-HEALTH,INS,INS-PEOPLE,PRIMARY,ACTIVE
INS-LIFE,INS,INS-PEOPLE,PRIMARY,ACTIVE
INS-WORK-ACC,INS,INS-PEOPLE,PRIMARY,ACTIVE
INS-CYBER,INS,INS-SPEC,PRIMARY,ACTIVE
INS-CYBER,INS,INS-RISK,SECONDARY,ACTIVE
INS-CONSTRUCTION,INS,INS-SPEC,PRIMARY,ACTIVE
INS-CREDIT,INS,INS-SPEC,PRIMARY,ACTIVE
INS-FLEET,INS,INS-FLEET,PRIMARY,ACTIVE
INS-CARGO,INS,INS-FLEET,PRIMARY,ACTIVE
INS-CLAIMS,INS,INS-CLAIM,PRIMARY,ACTIVE
INS-PREVENTION,INS,INS-CLAIM,PRIMARY,ACTIVE
INS-POLICY-AUDIT,INS,INS-PROGRAM,PRIMARY,ACTIVE
INS-TENDER,INS,INS-PROGRAM,PRIMARY,ACTIVE
LOG-PROC-AUDIT,LOG,LOG-PROC,PRIMARY,ACTIVE
LOG-SOURCING-STRAT,LOG,LOG-PROC,PRIMARY,ACTIVE
LOG-SUPPLIER-SEARCH,LOG,LOG-PROC,PRIMARY,ACTIVE
LOG-TENDER,LOG,LOG-PROC,PRIMARY,ACTIVE
LOG-SUP-QUAL,LOG,LOG-SUP,PRIMARY,ACTIVE
LOG-SUP-PERF,LOG,LOG-SUP,PRIMARY,ACTIVE
LOG-CONTRACT-NEG,LOG,LOG-SUP,PRIMARY,ACTIVE
LOG-SPEND-ANALYSIS,LOG,LOG-SPEND,PRIMARY,ACTIVE
LOG-E-PROC,LOG,LOG-SPEND,PRIMARY,ACTIVE
LOG-INVENTORY-OPT,LOG,LOG-INV,PRIMARY,ACTIVE
LOG-FORECAST,LOG,LOG-INV,PRIMARY,ACTIVE
LOG-WH-DESIGN,LOG,LOG-WH,PRIMARY,ACTIVE
LOG-WMS,LOG,LOG-WH,PRIMARY,ACTIVE
LOG-WMS,LOG,LOG-DIGI,SECONDARY,ACTIVE
LOG-PICKING,LOG,LOG-WH,PRIMARY,ACTIVE
LOG-TRANS-TENDER,LOG,LOG-TRANS,PRIMARY,ACTIVE
LOG-ROUTE,LOG,LOG-TRANS,PRIMARY,ACTIVE
LOG-CUSTOMS,LOG,LOG-TRADE,PRIMARY,ACTIVE
LOG-IMPORT,LOG,LOG-TRADE,PRIMARY,ACTIVE
LOG-SC-DIGITAL,LOG,LOG-DIGI,PRIMARY,ACTIVE
LOG-BCP,LOG,LOG-DIGI,PRIMARY,ACTIVE
BTP-FEAS,BTP,BTP-STUDY,PRIMARY,ACTIVE
BTP-ARCH,BTP,BTP-STUDY,PRIMARY,ACTIVE
BTP-STRUCT,BTP,BTP-STUDY,PRIMARY,ACTIVE
BTP-GEO,BTP,BTP-STUDY,PRIMARY,ACTIVE
BTP-MEP-DESIGN,BTP,BTP-STUDY,PRIMARY,ACTIVE
BTP-QS,BTP,BTP-COST,PRIMARY,ACTIVE
BTP-PM,BTP,BTP-COST,PRIMARY,ACTIVE
BTP-GC,BTP,BTP-WORK,PRIMARY,ACTIVE
BTP-RENOV,BTP,BTP-WORK,PRIMARY,ACTIVE
BTP-FITOUT,BTP,BTP-WORK,PRIMARY,ACTIVE
BTP-ELEC,BTP,BTP-MEP,PRIMARY,ACTIVE
BTP-PLUMB,BTP,BTP-MEP,PRIMARY,ACTIVE
BTP-HVAC,BTP,BTP-MEP,PRIMARY,ACTIVE
BTP-FIRE,BTP,BTP-SAFE,PRIMARY,ACTIVE
BTP-SECURITY,BTP,BTP-SAFE,PRIMARY,ACTIVE
BTP-SECURITY,BTP,BTP-FM,SECONDARY,ACTIVE
BTP-SOLAR,BTP,BTP-ENERGY,PRIMARY,ACTIVE
BTP-ENERGY-AUDIT,BTP,BTP-ENERGY,PRIMARY,ACTIVE
BTP-MAINT,BTP,BTP-FM,PRIMARY,ACTIVE
BTP-INSPECTION,BTP,BTP-REAL,PRIMARY,ACTIVE
BTP-LANDSCAPE,BTP,BTP-REAL,PRIMARY,ACTIVE
QHSE-ISO9001,QHSE,QHSE-QMS,PRIMARY,ACTIVE
QHSE-PROCESS,QHSE,QHSE-QMS,PRIMARY,ACTIVE
QHSE-SUPPLIER-QUALITY,QHSE,QHSE-QMS,PRIMARY,ACTIVE
QHSE-ISO14001,QHSE,QHSE-ENV,PRIMARY,ACTIVE
QHSE-ENV-AUDIT,QHSE,QHSE-ENV,PRIMARY,ACTIVE
QHSE-WASTE,QHSE,QHSE-ENV,PRIMARY,ACTIVE
QHSE-ISO45001,QHSE,QHSE-OHS,PRIMARY,ACTIVE
QHSE-SAFETY-AUDIT,QHSE,QHSE-OHS,PRIMARY,ACTIVE
QHSE-RISK-ASSESS,QHSE,QHSE-OHS,PRIMARY,ACTIVE
QHSE-HSE-PLAN,QHSE,QHSE-OHS,PRIMARY,ACTIVE
QHSE-HACCP,QHSE,QHSE-FOOD,PRIMARY,ACTIVE
QHSE-ISO22000,QHSE,QHSE-FOOD,PRIMARY,ACTIVE
QHSE-FOOD-AUDIT,QHSE,QHSE-FOOD,PRIMARY,ACTIVE
QHSE-ISO17025,QHSE,QHSE-LAB,PRIMARY,ACTIVE
QHSE-METROLOGY,QHSE,QHSE-LAB,PRIMARY,ACTIVE
QHSE-INTERNAL-AUDIT,QHSE,QHSE-AUDIT,PRIMARY,ACTIVE
QHSE-CAPA,QHSE,QHSE-AUDIT,PRIMARY,ACTIVE
QHSE-CAPA,QHSE,QHSE-QMS,SECONDARY,ACTIVE
QHSE-DOC-MGMT,QHSE,QHSE-DOC,PRIMARY,ACTIVE
QHSE-INTEGRATED,QHSE,QHSE-CERT,PRIMARY,ACTIVE
QHSE-CERT-PREP,QHSE,QHSE-CERT,PRIMARY,ACTIVE
SALES-AUDIT,SALES,SALES-STRAT,PRIMARY,ACTIVE
SALES-GTM,SALES,SALES-STRAT,PRIMARY,ACTIVE
SALES-MARKET-RESEARCH,SALES,SALES-STRAT,PRIMARY,ACTIVE
SALES-PRICING,SALES,SALES-STRAT,PRIMARY,ACTIVE
SALES-PROCESS,SALES,SALES-PROC,PRIMARY,ACTIVE
SALES-PIPELINE,SALES,SALES-PROC,PRIMARY,ACTIVE
SALES-TENDER,SALES,SALES-PROC,PRIMARY,ACTIVE
SALES-CRM-IMPL,SALES,SALES-CRM,PRIMARY,ACTIVE
SALES-CRM-IMPL,SALES,SALES-PROC,SECONDARY,ACTIVE
SALES-SALES-AUTO,SALES,SALES-CRM,PRIMARY,ACTIVE
SALES-LEADGEN,SALES,SALES-LEAD,PRIMARY,ACTIVE
SALES-TELEMARKETING,SALES,SALES-LEAD,PRIMARY,ACTIVE
SALES-SCRIPTS,SALES,SALES-LEAD,PRIMARY,ACTIVE
SALES-ORG,SALES,SALES-TEAM,PRIMARY,ACTIVE
SALES-TRAIN,SALES,SALES-TEAM,PRIMARY,ACTIVE
SALES-KAM,SALES,SALES-TEAM,PRIMARY,ACTIVE
SALES-CHANNEL,SALES,SALES-CHANNEL,PRIMARY,ACTIVE
SALES-EXPORT,SALES,SALES-CHANNEL,PRIMARY,ACTIVE
SALES-CX-MAP,SALES,SALES-CX,PRIMARY,ACTIVE
SALES-LOYALTY,SALES,SALES-CX,PRIMARY,ACTIVE
SALES-CUSTOMER-SERVICE,SALES,SALES-SERVICE,PRIMARY,ACTIVE
