library_code,code,name_fr,description_fr,order,status,version,franchisee_can_edit,subcategories_json
LOG,LOG-MACRO-TRADE,"Commerce international, digitalisation et résilience","Grande catégorie Commerce international, digitalisation et résilience de la bibliothèque Achats, logistique et supply chain.",4,ACTIVE,1,True,"[""LOG-TRADE"", ""LOG-DIGI""]"
BTP,BTP-MACRO-DESIGN,"Études, conception et économie de la construction","Grande catégorie Études, conception et économie de la construction de la bibliothèque BTP, immobilier et maintenance.",1,ACTIVE,1,True,"[""BTP-STUDY"", ""BTP-COST""]"
BTP,BTP-MACRO-WORK,"Construction, rénovation et lots techniques","Grande catégorie Construction, rénovation et lots techniques de la bibliothèque BTP, immobilier et maintenance.",2,ACTIVE,1,True,"[""BTP-WORK"", ""BTP-MEP""]"
BTP,BTP-MACRO-SAFE,"Sécurité, énergie et durabilité","Grande catégorie Sécurité, énergie et durabilité de la bibliothèque BTP, immobilier et maintenance.",3,ACTIVE,1,True,"[""BTP-SAFE"", ""BTP-ENERGY""]"
BTP,BTP-MACRO-ASSET,"Maintenance, immobilier et aménagement","Grande catégorie Maintenance, immobilier et aménagement de la bibliothèque BTP, immobilier et maintenance.",4,ACTIVE,1,True,"[""BTP-FM"", ""BTP-REAL""]"
QHSE,QHSE-MACRO-QE,"Qualité, processus et environnement","Grande catégorie Qualité, processus et environnement de la bibliothèque Qualité, HSE et certifications.",1,ACTIVE,1,True,"[""QHSE-QMS"", ""QHSE-ENV""]"
QHSE,QHSE-MACRO-HS,"Santé, sécurité et sécurité alimentaire","Grande catégorie Santé, sécurité et sécurité alimentaire de la bibliothèque Qualité, HSE et certifications.",2,ACTIVE,1,True,"[""QHSE-OHS"", ""QHSE-FOOD""]"
QHSE,QHSE-MACRO-LAB,"Laboratoires, métrologie et audits","Grande catégorie Laboratoires, métrologie et audits de la bibliothèque Qualité, HSE et certifications.",3,ACTIVE,1,True,"[""QHSE-LAB"", ""QHSE-AUDIT""]"
QHSE,QHSE-MACRO-CERT,Documentation et certifications,"Grande catégorie Documentation et certifications de la bibliothèque Qualité, HSE et certifications.",4,ACTIVE,1,True,"[""QHSE-DOC"", ""QHSE-CERT""]"
SALES,SALES-MACRO-STRAT,Stratégie de marché et processus commercial,"Grande catégorie Stratégie de marché et processus commercial de la bibliothèque Commercial, vente et expérience client.",1,ACTIVE,1,True,"[""SALES-STRAT"", ""SALES-PROC""]"
SALES,SALES-MACRO-ACQ,"CRM, automatisation et acquisition","Grande catégorie CRM, automatisation et acquisition de la bibliothèque Commercial, vente et expérience client.",2,ACTIVE,1,True,"[""SALES-CRM"", ""SALES-LEAD""]"
SALES,SALES-MACRO-ORG,"Organisation commerciale, canaux et export","Grande catégorie Organisation commerciale, canaux et export de la bibliothèque Commercial, vente et expérience client.",3,ACTIVE,1,True,"[""SALES-TEAM"", ""SALES-CHANNEL""]"
SALES,SALES-MACRO-CX,"Expérience, fidélisation et service client","Grande catégorie Expérience, fidélisation et service client de la bibliothèque Commercial, vente et expérience client.",4,ACTIVE,1,True,"[""SALES-CX"", ""SALES-SERVICE""]"
